sno,value,id,latitude,longitude,hasMenu,rating
1,5951,Chez Zee,30.336721,-97.75790213,TRUE,8.3
2,4169,Fonda San Miguel,30.32543422,-97.74366617,TRUE,9.1
3,361,Azul Tequila,30.34266483,-97.76382902,TRUE,8.2
4,12978,Kerbey Lane Cafe,30.30794822,-97.75047898,TRUE,9.2
5,1636,Russell's Bakery,30.3328426,-97.76021004,TRUE,7.6
6,788,CraigO's Pizza & Pastaria,30.33618308,-97.75759426,TRUE,7.8
7,4063,The Peached Tortilla,30.33078427,-97.74011864,TRUE,9.1
8,2413,Olive & June,30.30722483,-97.75116374,TRUE,8.7
9,2648,Upper Crust Bakery,30.31578004,-97.74160087,TRUE,9.1
10,10672,Pinthouse Pizza,30.31864437,-97.7391479,TRUE,9.3
11,11120,Torchy's Tacos,30.3233778,-97.7392263,TRUE,9
12,150,Sonora Hot Dogs,30.32105159,-97.73979506,TRUE,8.9
13,223,Tiny Pies,30.32241514,-97.73933172,TRUE,8.9
14,929,Chi'lantro,30.32468304,-97.73992237,TRUE,8.7
15,1477,Sarah's Mediterranean Grill & Market,30.32456013,-97.73999155,TRUE,8.7
16,10971,Uchiko,30.31077502,-97.73986402,TRUE,9.4
17,2070,Noble Sandwich Company,30.31905075,-97.73907363,TRUE,8.7
18,13624,Tacodeli,30.31045832,-97.7400291,TRUE,9.1
19,496,Phoenicia,30.317922,-97.73970562,TRUE,8.5
20,546,Three Little Pigs,30.34021492,-97.73888797,TRUE,8.9
21,1128,La Cocina de Consuelo,30.3160724,-97.74137585,TRUE,8.3
22,528,Sap's Fine Thai Cuisine,30.33342426,-97.74069154,TRUE,8.2
23,1018,Jack Allens on Capital of TX,30.3353112,-97.80736033,TRUE,9
24,1339,Thundercloud Subs,30.32851668,-97.73958818,TRUE,8.2
25,1839,Epicerie,30.324597,-97.743688,TRUE,7.9
26,723,Food! Food!,30.30392067,-97.76408373,TRUE,7.9
27,207,Bufalina Due,30.341134,-97.738326,TRUE,8.6
28,11166,P. Terry's Burger Stand,30.30176069,-97.74494827,TRUE,8.9
29,644,Hao Q Asian Kitchen,30.35621072,-97.7585175,TRUE,8.6
30,2026,Russell's Bistro,30.308295,-97.75021044,TRUE,8
31,1639,Eureka!,30.26776862,-97.7413281,TRUE,8.9
32,12808,Parkside,30.2673288,-97.740299,TRUE,8.8
33,3891,The Backspace,30.26707331,-97.74050057,TRUE,8.8
34,2366,Slake Cafe & Bar,30.26874934,-97.74124853,TRUE,8.8
35,3354,Voodoo Doughnut Austin V,30.26755112,-97.74086129,TRUE,8.8
36,7826,Roaring Fork,30.26918172,-97.74214268,TRUE,8.8
38,4936,1886 Cafe & Bakery,30.26770376,-97.74184227,TRUE,8.7
39,7296,Eddie V's Prime Seafood,30.26620261,-97.74059772,TRUE,9.2
40,6869,Perry's Steakhouse,30.26931339,-97.74374179,TRUE,9
41,1601,The Best Wurst,30.26797011,-97.7414395,TRUE,8.2
42,370,Gino's East of Chicago,30.26757451,-97.74084007,TRUE,8.2
43,3032,Russian House,30.2662582,-97.74029732,TRUE,8.6
44,2352,Athenian Bar & Grill,30.26843575,-97.7437471,TRUE,8.2
45,29857,Frank Restaurant,30.26659647,-97.74459589,TRUE,9.1
46,6563,Swift's Attic,30.26569822,-97.74339698,TRUE,8.8
47,421,Lonesome Dove Western Bistro,30.26730078,-97.74432003,TRUE,8.5
48,4462,Searsucker,30.2671931,-97.74443143,TRUE,8.4
49,1895,La Traviata,30.26583457,-97.74366752,TRUE,8.7
50,1200,Italic,30.26838049,-97.74400704,TRUE,8.1
51,26800,"Iron Cactus Mexican Restaurant, Grill and Margarita Bar",30.2674662,-97.7393932,TRUE,8
52,3557,Truluck's Seafood Steak & Crab,30.266726,-97.74492681,TRUE,8.9
53,1030,Llama's Peruvian Creole,30.26781809,-97.73899406,TRUE,8
54,5567,Turf N' Surf Poboys,30.26716631,-97.74570465,TRUE,9.1
55,5561,Chipotle Mexican Grill,30.26997628,-97.74187312,TRUE,7.8
56,10010,BD Riley's Irish Pub,30.2677385,-97.74110466,TRUE,7.8
57,132,Kababalicious,30.2678738,-97.73827265,TRUE,8.1
58,467,Leaf,30.26831174,-97.74399112,TRUE,7.9
59,1894,Cooper's Old Time Pit Bar-B-Que,30.26502425,-97.74391686,TRUE,8.8
60,17755,Fado Irish Pub & Restaurant,30.266904,-97.745466,TRUE,8.6
61,533,Casa Colombia,30.26083699,-97.71468753,TRUE,8.8
62,2745,Joe's Bakery & Coffee Shop,30.261156,-97.71667121,TRUE,8.4
63,407,Saigon Le Vendeur,30.26111122,-97.71500569,TRUE,8.3
64,347,hay elotes,30.26147662,-97.7164793,TRUE,8.1
65,1180,Counter Cafe,30.2616618,-97.72179352,TRUE,8.7
66,349,Nubian Queen Lola Cajun,30.269629,-97.719186,TRUE,8.5
67,14600,Juan in a Million,30.25529618,-97.719077,TRUE,9
